umls_cui,kg_disease_id
C0017609,MONDO_0019783
C0520775,
C0747102,
C0342826,
C0086651,MONDO_0009659
C0018621,MONDO_0005324
C0023283,MONDO_0005446
C0005716,MONDO_0005672
C0004604,
C0271606,
C0002994,MONDO_0010481
C0027145,MONDO_0009718
C0008049,MONDO_0005700
C0242362,
C1274355,
C5688196,
C0341823,MONDO_0002229
C0013238,MONDO_0006733
C1274323,
C0002965,MONDO_0006805
C0276535,
C0028326,MONDO_0018997
C0024286,MONDO_0005834
C0206247,
C0006060,MONDO_0024472
C0035793,MONDO_0019359
C0235267,
C0014121,MONDO_0006669
C0472713,
C2887097,
C0406486,
C1275687,
C0546837,MONDO_0007576
C0342907,MONDO_0008863
C0268381,MONDO_0019438
C0014347,
C0041321,MONDO_0005848
C0149966,
C0152253,
C3203547,
C0271578,
C0002888,MONDO_0001700
C0349464,MONDO_0010198
C0554628,
C0029076,MONDO_0004854
C0037299,
C4087506,
C0238217,
C1318559,
C0039240,
C0027773,
C0034186,MONDO_0006939
C0040034,MONDO_0002049
C0155862,MONDO_0005972
C0740394,
C1561643,MONDO_0005300
C1272826,
C0549398,
C0024623,MONDO_0001056
C0275550,
C0334663,MONDO_0019479
C0343065,
C0007847,
C0949083,
C0917798,MONDO_0005299
C0003515,
C0242739,
C0268634,MONDO_0037858
C1278807,
C5394854,
C0024748,MONDO_0009561
C0267176,
C0020557,
C0002171,MONDO_0005340
C0003615,MONDO_0005649
C1260880,
C0024588,MONDO_0001133
C3890205,MONDO_0019432
C0042029,MONDO_0100338
C5190725,
C0035372,MONDO_0010726
C3543433,
C0729586,
C0042847,MONDO_0020696
C0243002,MONDO_0011514
C2584877,
C0341950,MONDO_0001641
C0034013,MONDO_0000088
C0017574,MONDO_0002508
C0013369,MONDO_0001517
C2316304,
C0151482,MONDO_0001860
C0010691,MONDO_0009067
C0403643,
C0199008,
C0343386,
C0026603,MONDO_0008015
C0079773,MONDO_0015758
C0002962,
C2721580,
C1306632,
C0027819,MONDO_0005072
C0038463,MONDO_0005974
C0025218,
C0038160,MONDO_0024313
C0238461,MONDO_0006468
C0042024,
C0024586,MONDO_0100347
C0023473,
C0002928,
C0741292,
C0035460,MONDO_0006004
C0035457,MONDO_0024332
C0155804,MONDO_0002186
C0278140,
C3840002,
C4707060,
C2239176,MONDO_0007256
C0036117,MONDO_0000827
C0404585,
C0027927,MONDO_0004944
C0023440,MONDO_0017858
C0430471,
C0011881,MONDO_0005016
C0153195,MONDO_0001080
C0005283,MONDO_0019402
C0272322,MONDO_0015719
C0343861,
C0238298,MONDO_1010100
C0152068,MONDO_0044346
C4708167,
C4302369,
C0006181,MONDO_0005680
C0006114,MONDO_0006684
C0010417,MONDO_0009047
C0152973,
C4528668,
C0277528,
C0497327,MONDO_0001627
C0206062,
C0003868,
C5394779,
C0040558,MONDO_0005989
C0002066,MONDO_0008753
C1301363,MONDO_0019467
C0002170,MONDO_0004907
C0022577,MONDO_0019085
C0026986,
C0011606,MONDO_0043233
C0026838,
C2267231,
C0242350,MONDO_0005362
C0026836,
C1135868,MONDO_0018944
C0017531,MONDO_0015564
C0023434,MONDO_0004948
C0343730,
C0276089,
C0340968,MONDO_0009950
C1271701,
C0031036,MONDO_0019170
C0231528,
C0585966,
C0553580,MONDO_0012817
C0020461,
C2349994,MONDO_0000242
C0007115,MONDO_0002108
C0029106,MONDO_0005884
C0020709,
C0241910,
C1720135,
C0349790,MONDO_0850283
C1563054,
C0016053,MONDO_0005546
C0013516,
C0275761,
C1719939,
C5192106,
C0268164,MONDO_0009823
C0019880,MONDO_0004737
C0014488,MONDO_0001875
C2267227,MONDO_0005452
C0019655,MONDO_0018312
C0038358,MONDO_0001126
C0412842,
C0009768,MONDO_0006668
C0017205,MONDO_0018150
C0456103,MONDO_0700217
C0162352,
C3163805,
C0001957,MONDO_0006642
C2973725,MONDO_0015924
C0009088,MONDO_0043537
C0028768,MONDO_0008114
C1112209,
C0855112,MONDO_0000901
C0027404,MONDO_0021107
C0553656,
C0032797,
C1142423,
C0030446,MONDO_0004568
C0008513,MONDO_0004674
C1140680,MONDO_0008170
C0600040,
C0153425,MONDO_0000956
C0041472,MONDO_0000330
C0158371,
C1273489,MONDO_0956979
C0032743,
C0153027,
C0035021,MONDO_0019633
C0476089,MONDO_0002447
C0854211,
C0203713,
C0205944,MONDO_0017387
C0580183,
C0242383,MONDO_0005150
C3805232,
C0338480,MONDO_0100431
C0271429,
C0023052,
C0862889,
C0338395,MONDO_0006753
C4708088,
C0022104,MONDO_0005052
C0026961,
C0282687,MONDO_0005737
C0030807,MONDO_0006594
C0019147,MONDO_0001548
C0014544,MONDO_0005027
C0036421,MONDO_0005100
C0157749,
C0085404,MONDO_0017364
C0564750,
C0524688,MONDO_0001024
C0036341,MONDO_0005090
C0558595,
C0023290,MONDO_0005445
C0008311,MONDO_0004789
C0596170,MONDO_0005582
C0010200,
C0006434,
C0151636,
C0039103,MONDO_0002400
C0021400,MONDO_0005812
C0009766,MONDO_0005642
C0004153,MONDO_0005311
C0263353,MONDO_0026045
C0264716,
C5567802,
C0204837,
C0021355,
C0221406,MONDO_0009050
C1623040,
C0029408,MONDO_0005178
C2349261,
C1274228,
C0014742,MONDO_0006545
C0917801,MONDO_0013600
C0268407,
C0241310,
C0346161,MONDO_0018364
C0040460,
C0026847,MONDO_0001516
C0152486,
C0349636,MONDO_0020511
C0024143,MONDO_0005556
C0742964,
C1260899,MONDO_0015253
C0948204,
C1701940,
C0011854,MONDO_0005147
C0412850,
C1960340,
C0085166,MONDO_0005316
C0010192,
C0339296,MONDO_0015290
C0401160,
C0264115,MONDO_0024650
C0278139,
C0010674,MONDO_0009061
C0023269,MONDO_0005058
C0018790,MONDO_0000745
C0153633,MONDO_0001657
C1959799,
C0395818,MONDO_0041095
C0270425,
C0581126,
C0276653,
C0268384,MONDO_0100552
C0276027,
C1444843,
C0005424,
C0007138,MONDO_0006474
C0346976,
C0033860,MONDO_0005083
C0022602,MONDO_0005173
C0007222,MONDO_0004995
C0026946,MONDO_0002041
C0036220,MONDO_0005055
C0033777,
C0349734,
C0348868,
C0030759,MONDO_0001794
C0027051,MONDO_0005068
C0600142,
C1112709,
C0281361,MONDO_0006047
C0024419,MONDO_0100280
C0343337,
C0029151,
C0040261,MONDO_0001628
C1260911,MONDO_0040998
C0155440,MONDO_0001964
C1562029,
C1960675,
C0262399,
C0259787,
C0037199,MONDO_0005961
C0149948,MONDO_0001051
C1960398,MONDO_0006244
C0264714,
C0004626,MONDO_0004652
C0023474,
C3495801,MONDO_0012105
C0022729,
C0221765,
C1320547,
C3539878,
C2957169,
C0349009,
C0238462,MONDO_0015277
C0155919,
C0013370,MONDO_0024275
C0267919,
C0004364,MONDO_0007179
C0347950,
C1831743,
C0238122,MONDO_0006206
C0342313,
C0158981,MONDO_0016391
C0002351,MONDO_0006625
C0019360,MONDO_0005609
C0024537,MONDO_0005921
C0153254,
C0239295,MONDO_0001648
C0032290,MONDO_0000265
C0026764,MONDO_0009693
C0019562,MONDO_0008667
C0015371,
C0004238,MONDO_0004981
C0085438,MONDO_0006764
C1262117,MONDO_0033821
C0024214,MONDO_0006840
C0155749,
C0040262,MONDO_0005915
C4275067,MONDO_0019441
C5419539,
C0276587,
C0346421,MONDO_0015687
C0238111,MONDO_0016532
C0341558,
C0684339,
C0025295,MONDO_0006913
C0019348,MONDO_0004609
C4725091,
C0035579,MONDO_0005520
C0027022,
C0751434,MONDO_0019259
C0346647,MONDO_0009831
C0040896,MONDO_0019444
C0014836,MONDO_0020920
C0149922,
C3494187,
C0275556,
C3888500,
C0024536,MONDO_0001943
C2960008,
C0002726,MONDO_0019065
C0022570,
C0867389,MONDO_0020547
C0006840,MONDO_0002026
C4509816,MONDO_0056806
C0752347,MONDO_0007488
C0015230,MONDO_0006547
C0033578,MONDO_0021259
C0393760,
C1290159,MONDO_0040698
C0034606,
C1699099,
C0017601,MONDO_0005041
C0348898,
C0032019,MONDO_0017611
C1960925,
C0027831,MONDO_0018975
C0005684,MONDO_0001187
C1304306,
C0010692,MONDO_0006032
C0037274,MONDO_0005093
C0206178,MONDO_0000878
C0042164,MONDO_0020283
C3697063,
C0020649,MONDO_0005468
C4303663,
C0729524,MONDO_0005247
C0031511,MONDO_0008233
C0263283,
C0010414,MONDO_0005724
C0271066,
C0019345,MONDO_0043653
C0022340,MONDO_0015674
C5244027,
C0487602,
C0014549,MONDO_0005754
C0339932,
C0149704,
C0030805,MONDO_0019082
C0004239,MONDO_0005310
C1720498,
C0038454,MONDO_0005098
C0042133,MONDO_0007886
C0038013,MONDO_0005306
C0206682,MONDO_0005034
C0232849,
C0272293,
C0020445,MONDO_0005439
C0520575,MONDO_0003529
C0026709,MONDO_0009661
C0037354,MONDO_0004651
C0338396,
C0149931,MONDO_0005277
C0751362,MONDO_0016158
C1303258,
C0040250,
C0085413,MONDO_0004691
C2887088,
C0023827,MONDO_0005060
C0009770,MONDO_0005808
C0151940,
C1739363,
C0024198,MONDO_0019632
C0013274,MONDO_0011827
C0013371,MONDO_0019345
C0029077,MONDO_0019198
C0040038,
C0346974,MONDO_0041447
C0154723,MONDO_0005475
C0030246,MONDO_0015597
C0016436,MONDO_0006552
C0022568,MONDO_0003085
C0203827,
C0017575,MONDO_0006865
C0151714,
C0424620,
C1698510,
C0029458,MONDO_0008159
C0011884,MONDO_0005266
C1299579,
C0412366,
C0268124,
C0520909,
C0235950,
C0149985,MONDO_0002897
C0036271,MONDO_0006605
C0410065,
C0022662,
C0038525,MONDO_0005099
C0002453,MONDO_0001836
C0079731,MONDO_0004095
C0020503,MONDO_0006964
C0524662,MONDO_0005530
C0242459,
C0004945,MONDO_0001714
C0750952,MONDO_0003060
C0853193,MONDO_0001866
C1271100,
C0029104,
C0043167,MONDO_0005077
C0345905,MONDO_0003210
C0007767,
C0024530,MONDO_0005136
C0276088,
C0035585,MONDO_0006956
C0042900,MONDO_0008661
C1292758,MONDO_0044917
C0423234,
C0042963,
C0751436,MONDO_0016543
C1263846,MONDO_0007743
C0341503,MONDO_0005195
C1274469,
C1283620,MONDO_0009114
C0238425,
C0011581,MONDO_0002050
C0342938,
C0406526,
C0393772,
C0271561,
C0000810,
C1512628,
C0019156,MONDO_0019514
C0151874,
C0276758,MONDO_0016426
C0002395,MONDO_0004975
C0028754,MONDO_0011122
C0006846,MONDO_0000879
C0009806,MONDO_0002203
C1333064,
C4048747,
C0276755,
C0342731,MONDO_0017708
C0027430,MONDO_0006314
C0022573,MONDO_0004768
C0220994,
C0013428,
C0472699,
C0039483,
C0341106,MONDO_0005361
C0028043,MONDO_0008575
C0029456,MONDO_0005298
C0085394,
C0155877,MONDO_0004784
C4544791,
C1456792,
C1960924,
C0030578,MONDO_0005898
C2939459,
C0017605,MONDO_0001744
C0009378,
C0237963,
C0275793,
C0042345,MONDO_0008638
C0282402,
C0016034,MONDO_0005219
C3697010,
C0343467,
C4721414,MONDO_0018876
C0012546,MONDO_0005504
C0032961,
C0035258,MONDO_0005391
C0276228,
C0019693,MONDO_0005109
C0275959,
C0025323,
C0024221,MONDO_0002013
C0162316,MONDO_0001356
C0001207,
C0023467,MONDO_0018874
C0013295,MONDO_0005412
C0032285,MONDO_0005249
C1562585,MONDO_0041751
C0031946,MONDO_0000979
C2981142,
C0040399,
C0344106,
C0036980,MONDO_0800175
C0271693,MONDO_0019193
C0027796,MONDO_0021667
C0014527,MONDO_0006541
C0343886,
C0011644,MONDO_0019340
C0520676,MONDO_1010182
C0085652,MONDO_0018824
C0543822,
C0030783,MONDO_0019975
C0018022,MONDO_0006742
C0232940,MONDO_1060209
C0150055,
C0021099,MONDO_0004592
C0032897,MONDO_0008300
C3714976,MONDO_0014222
C0311375,
C0751967,MONDO_0005314
C0751753,
C0014550,MONDO_0100577
C0152964,
C0005683,MONDO_0006678
C0948008,MONDO_1060198
C0347176,
C0041318,MONDO_0006042
C0877543,
C3203356,
C5394780,
C0022876,
C1320183,
C0191342,
C0400918,
C0349719,
C1997614,
C0002895,MONDO_0011382
C0038437,MONDO_0004160
C0001261,MONDO_0005631
C1274557,
C0042165,MONDO_0006651
C0278987,
C0040252,MONDO_0001461
C0006142,MONDO_0007254
C0030590,
C0024301,MONDO_0018906
C1828079,
C0398775,
C0040592,MONDO_0001249
C3805233,
C0035086,MONDO_0006946
C0334634,
C0585362,MONDO_0004958
C0010823,MONDO_0005132
C0156543,MONDO_0041526
C0043096,
C0345468,
C0042510,MONDO_0000190
C0033038,MONDO_0001780
C0473527,
C0748052,
C1960580,
C0276085,
C0027726,MONDO_0005377
C0024485,
C4025272,
C0017612,MONDO_0005338
C0040147,MONDO_0004126
C4518725,
C4040491,
C0003873,MONDO_0008383
C0001627,MONDO_0018479
C0085132,MONDO_0009662
C1273957,
C0041327,MONDO_0006052
C0151907,
C0271084,
C0221154,
C1444173,
C0009663,
C1384600,
C0342882,
C0040015,MONDO_0100326
C0570328,
C0272286,MONDO_0002048
C0870082,
C0014358,
C0426639,
C0154639,MONDO_0001316
C0032463,MONDO_0009891
C5203125,
C0027497,
