dc_disease_name,onto_name,onto_id,similarity,match_type
Pre B-cell acute lymphoblastic leukemia,acute lymphoblastic leukemia,EFO_0000220,83.5820895522388,fuzzy
Papillary thyroid carcinoma,medullary thyroid gland carcinoma,MONDO_0015277,80.0,fuzzy
Follicular thyroid carcinoma,medullary thyroid gland carcinoma,MONDO_0015277,75.40983606557377,fuzzy
Hypophosphatasia,hypophosphatemia,MONDO_0000313,87.5,fuzzy
Leber's optic atrophy,optic atrophy,MONDO_0003608,76.47058823529412,fuzzy
Spinal muscular atrophy,"spinal muscular atrophy, type IV",MONDO_0010056,83.63636363636364,fuzzy
Late-infantile neuronal ceroid lipofuscinosis,"ceroid lipofuscinosis, neuronal, 6A",MONDO_0011144,75.0,fuzzy
Immune thrombocytopenia,thrombocytopenia 9,MONDO_0957572,82.92682926829268,fuzzy
Biliary tract cancer,biliary tract cancer,MONDO_0003060,100.0,exact
BardetBiedl syndrome,Bardet-Biedl syndrome,MONDO_0015229,97.5609756097561,fuzzy
Malignant Neoplasm,malignant colon neoplasm,MONDO_0021063,85.71428571428572,fuzzy
Acute lymphoblastic leukemia,acute lymphoblastic leukemia,EFO_0000220,100.0,exact
Heart failure,heart failure,EFO_0003144,100.0,exact
Thyroid eye disease,thyroid disease,EFO_1000627,88.23529411764706,fuzzy
Dravet syndrome,Rett syndrome,MONDO_0010726,85.71428571428572,fuzzy
Disorder of fatty acid metabolism,Disorder of lipid metabolism,Orphanet_309005,75.40983606557377,fuzzy
Chronic infection caused by Hepatitis D virus,hepatitis C virus infection,EFO_0003047,75.0,fuzzy
Transplant of kidney,kidney transplant,EFO_0010134,91.89189189189189,fuzzy
"Primary hyperoxaluria, type I",primary hyperoxaluria type 2,MONDO_0009824,91.22807017543859,fuzzy
Homozygous familial hypercholesterolemia,homozygous familial hypercholesterolemia,MONDO_0018328,100.0,exact
Bipolar I disorder,bipolar I disorder,EFO_0009963,100.0,exact
Pruritus in progressive familial intrahepatic cholestasis (PFIC),progressive familial intrahepatic cholestasis type 1,MONDO_0008892,82.75862068965517,fuzzy
Von Hippel-Lindau (VHL) disease,von Hippel-Lindau disease,MONDO_0008667,89.28571428571429,fuzzy
Achondroplasia,hypochondroplasia,MONDO_0007793,83.87096774193549,fuzzy
Obstructive hypertrophic cardiomyopathy (HCM),hypertrophic cardiomyopathy 6,MONDO_0010946,75.67567567567568,fuzzy
"Niemann-Pick disease, type A","Niemann-Pick disease, type C2",MONDO_0011873,94.73684210526316,fuzzy
"Niemann-Pick disease, type B","Niemann-Pick disease, type C2",MONDO_0011873,94.73684210526316,fuzzy
Hepatorenal syndrome,hepatorenal syndrome,MONDO_0001382,100.0,exact
Rett syndrome,Rett syndrome,MONDO_0010726,100.0,exact
